,course1,course2,corr,P-value,#students
6809,ComputerandInfoScience4650,English1102,0.363718145,1.25E-05,137
6810,ComputerandInfoScience4650,History1000,0.092871611,0.563582397,41
6811,ComputerandInfoScience4650,Mathematics1100,0.053198767,0.719512137,48
6812,ComputerandInfoScience4650,Music1100,0.482679507,0.00029013,52
6813,ComputerandInfoScience4650,Philosophy1000,0.32458912,7.21E-05,144
6814,ComputerandInfoScience4650,Physics1201,0.240590566,0.059615085,62
6815,ComputerandInfoScience4650,Physics1501,0.432852356,0.027194773,26
6816,ComputerandInfoScience4650,Physics1511,0.111999071,0.503204248,38
6821,ComputerandInfoScience4650,Psychology1100,0.685200885,0.000856311,20
6822,ComputerandInfoScience4650,Psychology1200,0.264957655,0.200549781,25
6881,ComputerandInfoScience4650,Theatre1100,0.345808686,0.01293498,51
6882,ComputerandInfoScience4650,Theology1000,0.287841028,0.000294799,154
6883,ComputerandInfoScience4650,Theology3200,0.33175779,0.063600909,32
6884,ComputerandInfoScience4650,VisualArts1101,0.26772246,0.131990682,33
6936,ComputerandInfoScience4660,ComputerandInfoScience4660,1,0,114
6944,ComputerandInfoScience4660,English1102,0.017894838,0.903912335,48
6945,ComputerandInfoScience4660,History1000,0.421739025,0.031877128,26
6946,ComputerandInfoScience4660,Mathematics1100,0.012236836,0.950721111,28
6948,ComputerandInfoScience4660,Philosophy1000,0.283369384,0.029643389,59
7017,ComputerandInfoScience4660,Theology1000,0.276051762,0.032762436,60
7028,ComputerandInfoScience4700,ComputerandInfoScience1400,0.225163851,0.24932007,28
7030,ComputerandInfoScience4700,ComputerandInfoScience1600,0.496876456,3.99E-05,62
7031,ComputerandInfoScience4700,ComputerandInfoScience1610,0.499144277,0.000165422,52
7034,ComputerandInfoScience4700,ComputerandInfoScience2000,0.568069258,3.56E-07,69
7035,ComputerandInfoScience4700,ComputerandInfoScience2010,0.559016924,4.91E-07,70
7039,ComputerandInfoScience4700,ComputerandInfoScience2200,0.5945807,1.19E-08,77
7043,ComputerandInfoScience4700,ComputerandInfoScience2540,0.08607768,0.602343015,39
7051,ComputerandInfoScience4700,ComputerandInfoScience3300,0.502949975,0.003346899,32
7053,ComputerandInfoScience4700,ComputerandInfoScience3500,0.475045784,4.87E-05,67
7055,ComputerandInfoScience4700,ComputerandInfoScience3593,0.582741161,4.13E-08,75
7056,ComputerandInfoScience4700,ComputerandInfoScience3595,0.603675952,9.86E-09,75
7063,ComputerandInfoScience4700,ComputerandInfoScience4080,0.647107088,4.34E-09,66
7064,ComputerandInfoScience4700,ComputerandInfoScience4090,0.666682166,6.60E-11,75
7068,ComputerandInfoScience4700,ComputerandInfoScience4615,0.509768569,7.03E-05,55
7069,ComputerandInfoScience4700,ComputerandInfoScience4631,0.575989295,3.40E-07,67
7070,ComputerandInfoScience4700,ComputerandInfoScience4650,0.554574242,0.004917615,24
7072,ComputerandInfoScience4700,ComputerandInfoScience4700,1,0,93
7079,ComputerandInfoScience4700,English1102,0.316935147,0.049313281,39
7082,ComputerandInfoScience4700,Music1100,0.287261101,0.163824772,25
7083,ComputerandInfoScience4700,Philosophy1000,0.649666834,1.36E-05,37
7152,ComputerandInfoScience4700,Theology1000,0.432702794,0.002990853,45
7165,ComputerandInfoScience4750,ComputerandInfoScience1600,0.539985933,0.009484296,22
7208,ComputerandInfoScience4750,ComputerandInfoScience4750,1,0,36
7214,ComputerandInfoScience4750,English1102,0.383812126,0.085860842,21
7218,ComputerandInfoScience4750,Philosophy1000,0.771222456,2.65E-05,22
7287,ComputerandInfoScience4750,Theology1000,0.512070942,0.008874575,25
7300,ComputerandInfoScience4800,ComputerandInfoScience1600,0.144433445,0.532209065,21
7301,ComputerandInfoScience4800,ComputerandInfoScience1610,0.242723927,0.302482769,20
7309,ComputerandInfoScience4800,ComputerandInfoScience2200,0.711915972,0.000430192,20
7325,ComputerandInfoScience4800,ComputerandInfoScience3593,0.271469817,0.246952681,20
7339,ComputerandInfoScience4800,ComputerandInfoScience4631,0.330659643,0.132826005,22
7344,ComputerandInfoScience4800,ComputerandInfoScience4800,1,0,41
7435,ComputerandInfoScience4900,ComputerandInfoScience1600,0.389928195,0.065866875,23
7436,ComputerandInfoScience4900,ComputerandInfoScience1610,0.477390571,0.028634915,21
7439,ComputerandInfoScience4900,ComputerandInfoScience2000,0.624430011,0.001894255,22
7440,ComputerandInfoScience4900,ComputerandInfoScience2010,0.638705108,0.001377441,22
7444,ComputerandInfoScience4900,ComputerandInfoScience2200,0.501420203,0.01743397,22
7458,ComputerandInfoScience4900,ComputerandInfoScience3500,0.319651719,0.16949018,20
7460,ComputerandInfoScience4900,ComputerandInfoScience3593,0.307564375,0.187118341,20
7461,ComputerandInfoScience4900,ComputerandInfoScience3595,0.477381378,0.033292285,20
7473,ComputerandInfoScience4900,ComputerandInfoScience4615,0.59676293,0.004292656,21
7474,ComputerandInfoScience4900,ComputerandInfoScience4631,0.32814012,0.157813279,20
7480,ComputerandInfoScience4900,ComputerandInfoScience4900,1,0,34
7695,Economics2140,BiologicalSciences1403,0.338760973,1.50E-11,376
7696,Economics2140,BiologicalSciences1404,0.213664891,0.000218147,295
7697,Economics2140,BiologicalSciences1413,0.381549494,1.92E-14,375
7698,Economics2140,Chemistry1321,0.278019543,6.94E-08,364
7699,Economics2140,Chemistry1322,0.276307817,1.56E-06,293
7700,Economics2140,Chemistry1331,0.287642263,8.29E-09,387
7701,Economics2140,Chemistry1332,0.325216881,6.41E-09,304
7702,Economics2140,ComputerandInfoScience1100,0.269437509,9.16E-10,500
7703,Economics2140,ComputerandInfoScience1400,0.375955344,0.000106881,101
7705,Economics2140,ComputerandInfoScience1600,0.34367817,2.84E-10,319
7706,Economics2140,ComputerandInfoScience1610,0.311012518,3.25E-07,259
7709,Economics2140,ComputerandInfoScience2000,0.247520594,0.003933786,134
7710,Economics2140,ComputerandInfoScience2010,0.288693765,0.000906791,129
7714,Economics2140,ComputerandInfoScience2200,0.340752798,0.006726045,62
7717,Economics2140,ComputerandInfoScience2500,0.239525722,0.075403747,56
7718,Economics2140,ComputerandInfoScience2540,0.323743199,0.010263855,62
7720,Economics2140,ComputerandInfoScience3001,0.370023593,0.090070062,22
7726,Economics2140,ComputerandInfoScience3300,0.366342771,0.055189169,28
7727,Economics2140,ComputerandInfoScience3400,0.431417539,0.04499082,22
7728,Economics2140,ComputerandInfoScience3500,0.30647317,0.011025976,68
7730,Economics2140,ComputerandInfoScience3593,0.338839664,0.01138906,55
7731,Economics2140,ComputerandInfoScience3595,0.527613884,0.000329919,42
7735,Economics2140,ComputerandInfoScience4001,0.289934324,0.053368073,45
7737,Economics2140,ComputerandInfoScience4020,0.106853869,0.636004414,22
7738,Economics2140,ComputerandInfoScience4080,0.326704551,0.026688837,46
7739,Economics2140,ComputerandInfoScience4090,0.513778145,0.000187771,48
7743,Economics2140,ComputerandInfoScience4615,0.422922389,0.008159428,38
7744,Economics2140,ComputerandInfoScience4631,0.283331659,0.014438347,74
7745,Economics2140,ComputerandInfoScience4650,0.282749135,0.062927779,44
7752,Economics2140,Economics2140,1,0,6066
7753,Economics2140,English1101,0.231418635,2.77E-11,808
7754,Economics2140,English1102,0.3177109,9.74E-89,3751
7755,Economics2140,History1000,0.285558336,1.79E-24,1228
7756,Economics2140,Mathematics1100,0.302932717,2.29E-23,1033
7757,Economics2140,Music1100,0.290690408,8.24E-19,891
7758,Economics2140,Philosophy1000,0.363903792,2.75E-123,3928
7759,Economics2140,Physics1201,0.299579978,1.44E-18,825
7760,Economics2140,Physics1501,0.199070415,0.008453403,174
7761,Economics2140,Physics1511,0.202901504,0.002029942,229
7762,Economics2140,Psychology1000,0.581942684,3.42E-05,44
7766,Economics2140,Psychology1100,0.266992636,2.34E-06,304
7767,Economics2140,Psychology1200,0.281731116,1.17E-07,342
7768,Economics2140,Psychology2000,-0.191474056,0.04037354,115
7769,Economics2140,Psychology2010,0.148879263,0.181904098,82
7770,Economics2140,Psychology2200,-0.192852616,0.307235997,30
7775,Economics2140,Psychology2501,-0.047916498,0.787850741,34
7776,Economics2140,Psychology2600,0.221089603,0.039599692,87
7778,Economics2140,Psychology2700,0.071319553,0.50905347,88
7779,Economics2140,Psychology2710,-0.070907619,0.577676176,64
7780,Economics2140,Psychology2800,0.094639789,0.236882593,158
7781,Economics2140,Psychology2900,0.198777795,0.01072165,164
7782,Economics2140,Psychology3100,0.400456939,0.042636935,26
7788,Economics2140,Psychology3330,-0.128999001,0.529970234,26
7795,Economics2140,Psychology3600,0.010889636,0.914368183,100
7798,Economics2140,Psychology3700,0.081422161,0.686408497,27
7801,Economics2140,Psychology3730,0.048982783,0.81217364,26
7806,Economics2140,Psychology3930,-0.207237463,0.289990401,28
7811,Economics2140,Psychology4310,-0.180540629,0.299334423,35
7814,Economics2140,Psychology4340,0.103575605,0.4116109,65
7820,Economics2140,Psychology4900,-0.051492938,0.601896134,105
7826,Economics2140,Theatre1100,0.321634792,1.44E-30,1212
7827,Economics2140,Theology1000,0.366402826,8.18E-128,4015
7828,Economics2140,Theology3200,0.302255415,1.32E-19,859
7829,Economics2140,VisualArts1101,0.312561682,7.32E-23,945
7830,English1101,BiologicalSciences1403,0.220627597,0.003256306,176
7831,English1101,BiologicalSciences1404,0.006181571,0.946123606,122
7832,English1101,BiologicalSciences1413,0.363186027,6.75E-07,177
7833,English1101,Chemistry1321,0.190031659,0.010837387,179
7834,English1101,Chemistry1322,0.119634022,0.193091642,120
7835,English1101,Chemistry1331,0.116226168,0.108404451,192
7836,English1101,Chemistry1332,0.083099393,0.345356835,131
7837,English1101,ComputerandInfoScience1100,0.253315555,3.62E-06,326
7838,English1101,ComputerandInfoScience1400,0.350194242,0.001671898,78
7840,English1101,ComputerandInfoScience1600,0.310382473,7.32E-06,201
7841,English1101,ComputerandInfoScience1610,0.262768951,0.000602008,167
7844,English1101,ComputerandInfoScience2000,0.250940862,0.012233197,99
7845,English1101,ComputerandInfoScience2010,0.221798871,0.029867969,96
7847,English1101,ComputerandInfoScience2100,0.25872493,0.183718092,28
7848,English1101,ComputerandInfoScience2110,0.160253642,0.487737547,21
7849,English1101,ComputerandInfoScience2200,0.298811503,0.022698536,58
7852,English1101,ComputerandInfoScience2500,0.188055751,0.272052048,36
7853,English1101,ComputerandInfoScience2540,0.143173655,0.26693923,62
7861,English1101,ComputerandInfoScience3300,0.179492036,0.360751975,28
7863,English1101,ComputerandInfoScience3500,0.164557225,0.263706398,48
7865,English1101,ComputerandInfoScience3593,0.136448623,0.315977772,56
7866,English1101,ComputerandInfoScience3595,0.341599884,0.041443918,36
7869,English1101,ComputerandInfoScience3850,0.357832728,0.079045668,25
7870,English1101,ComputerandInfoScience4001,0.074570198,0.60678241,50
7872,English1101,ComputerandInfoScience4020,0.111291677,0.640414103,20
7873,English1101,ComputerandInfoScience4080,0.367352351,0.025307734,37
7874,English1101,ComputerandInfoScience4090,0.099562234,0.510333164,46
7878,English1101,ComputerandInfoScience4615,0.24974399,0.09415576,46
7879,English1101,ComputerandInfoScience4631,0.085159455,0.536458143,55
7880,English1101,ComputerandInfoScience4650,0.556795217,0.007112142,22
7887,English1101,Economics2140,0.231418635,2.77E-11,808
7888,English1101,English1101,1,0,2197
7889,English1101,English1102,0.425835309,7.90E-70,1562
7890,English1101,History1000,0.315575445,2.14E-10,387
7891,English1101,Mathematics1100,0.247075484,4.54E-11,691
7892,English1101,Music1100,0.385371411,1.02E-15,403
7893,English1101,Philosophy1000,0.448383879,1.08E-78,1574
7894,English1101,Physics1201,0.231575301,1.52E-05,342
7895,English1101,Physics1501,0.220550145,0.082393075,63
7896,English1101,Physics1511,0.209796937,0.041295944,95
7901,English1101,Psychology1100,0.347227808,6.40E-06,161
7902,English1101,Psychology1200,0.313299131,2.63E-07,259
7903,English1101,Psychology2000,0.11045183,0.189101603,143
7904,English1101,Psychology2010,0.263031929,0.005953962,108
7905,English1101,Psychology2200,0.107438017,0.515040685,39
7906,English1101,Psychology2201,0.418729663,0.011031034,36
7910,English1101,Psychology2501,0.18183412,0.237480752,44
7911,English1101,Psychology2600,0.247087331,0.050901439,63
7913,English1101,Psychology2700,0.389657866,0.000549247,75
7914,English1101,Psychology2710,0.148398736,0.230727867,67
7915,English1101,Psychology2800,0.387514731,8.73E-06,124
7916,English1101,Psychology2900,0.366576774,6.22E-06,144
7917,English1101,Psychology3100,0.299689981,0.164745021,23
7923,English1101,Psychology3330,0.44509431,0.049235839,20
7930,English1101,Psychology3600,0.331193356,0.000632691,103
7933,English1101,Psychology3700,0.392483073,0.028967076,31
7938,English1101,Psychology3820,0.137982746,0.540300352,22
7941,English1101,Psychology3930,0.015380645,0.928008346,37
7946,English1101,Psychology4310,0.163675484,0.30032714,42
7949,English1101,Psychology4340,0.365718886,0.011472209,47
7955,English1101,Psychology4900,0.092222169,0.44101543,72
7961,English1101,Theatre1100,0.342792435,5.51E-18,600
7962,English1101,Theology1000,0.456265202,1.94E-83,1607
7963,English1101,Theology3200,0.288070027,1.64E-07,319
7964,English1101,VisualArts1101,0.359933097,3.43E-11,319
7965,English1102,BiologicalSciences1403,0.411395483,1.72E-53,1281
7966,English1102,BiologicalSciences1404,0.358703587,1.93E-34,1090
7967,English1102,BiologicalSciences1413,0.477532305,4.71E-74,1283
7968,English1102,Chemistry1321,0.324508167,2.48E-33,1303
7969,English1102,Chemistry1322,0.314457896,3.08E-26,1081
7970,English1102,Chemistry1331,0.340824833,5.17E-39,1385
7971,English1102,Chemistry1332,0.310730052,1.89E-26,1118
7972,English1102,ComputerandInfoScience1100,0.328529863,1.59E-42,1638
7973,English1102,ComputerandInfoScience1400,0.298689679,5.60E-09,366
7974,English1102,ComputerandInfoScience1401,0.380854326,0.097583257,20
7975,English1102,ComputerandInfoScience1600,0.268531427,7.39E-17,932
7976,English1102,ComputerandInfoScience1610,0.264431267,6.26E-14,779
7979,English1102,ComputerandInfoScience2000,0.300333932,3.50E-10,419
7980,English1102,ComputerandInfoScience2010,0.329376607,1.41E-11,400
7981,English1102,ComputerandInfoScience2011,0.190965931,0.350051719,26
7982,English1102,ComputerandInfoScience2100,0.452481256,4.15E-06,95
7983,English1102,ComputerandInfoScience2110,0.466262834,3.22E-05,73
7984,English1102,ComputerandInfoScience2200,0.371768443,3.25E-09,238
7986,English1102,ComputerandInfoScience2350,0.128785783,0.377826266,49
7987,English1102,ComputerandInfoScience2500,0.278219877,0.000418477,157
7988,English1102,ComputerandInfoScience2540,0.209859177,0.001212016,235
7990,English1102,ComputerandInfoScience3001,0.464495146,0.000402762,54
7993,English1102,ComputerandInfoScience3060,0.549385317,0.002996394,27
7994,English1102,ComputerandInfoScience3130,0.347053197,0.022601692,43
7995,English1102,ComputerandInfoScience3250,0.101149315,0.404744374,70
7996,English1102,ComputerandInfoScience3300,0.222230447,0.029542426,96
7997,English1102,ComputerandInfoScience3400,0.152845175,0.196713939,73
7998,English1102,ComputerandInfoScience3500,0.218474401,0.001693663,204
7999,English1102,ComputerandInfoScience3580,0.220707786,0.195827168,36
8000,English1102,ComputerandInfoScience3593,0.284695791,5.25E-05,196
8001,English1102,ComputerandInfoScience3595,0.30539855,9.54E-05,158
8004,English1102,ComputerandInfoScience3850,0.331128454,0.006612064,66
8005,English1102,ComputerandInfoScience4001,0.302220563,8.69E-06,209
8007,English1102,ComputerandInfoScience4020,0.208712537,0.045871351,92
8008,English1102,ComputerandInfoScience4080,0.364883289,1.25E-06,167
8009,English1102,ComputerandInfoScience4090,0.206381398,0.004489586,188
8010,English1102,ComputerandInfoScience4400,0.224371983,0.169691587,39
8013,English1102,ComputerandInfoScience4615,0.294136967,0.000399765,141
8014,English1102,ComputerandInfoScience4631,0.207289213,0.002477303,211
8015,English1102,ComputerandInfoScience4650,0.363718145,1.25E-05,137
8016,English1102,ComputerandInfoScience4660,0.017894838,0.903912335,48
8017,English1102,ComputerandInfoScience4700,0.316935147,0.049313281,39
8018,English1102,ComputerandInfoScience4750,0.383812126,0.085860842,21
8022,English1102,Economics2140,0.3177109,9.74E-89,3751
8023,English1102,English1101,0.425835309,7.90E-70,1562
8024,English1102,English1102,1,0,11394
8025,English1102,History1000,0.431832039,2.85E-108,2370
8026,English1102,Mathematics1100,0.312194294,8.50E-78,3402
8027,English1102,Music1100,0.458649199,2.97E-108,2071
8028,English1102,Philosophy1000,0.488443517,0,9361
8029,English1102,Physics1201,0.293273554,4.78E-45,2208
8030,English1102,Physics1501,0.247499235,4.86E-07,403
8031,English1102,Physics1511,0.235555009,9.65E-09,579
8032,English1102,Psychology1000,0.461806901,4.44E-05,72
8033,English1102,Psychology1002,0.408422766,0.066043004,21
8034,English1102,Psychology1003,0.479587824,0.023908763,22
8036,English1102,Psychology1100,0.373731758,2.30E-32,935
8037,English1102,Psychology1200,0.43383712,3.02E-61,1310
8038,English1102,Psychology2000,0.279872652,1.89E-15,777
8039,English1102,Psychology2010,0.32726745,7.17E-15,537
8040,English1102,Psychology2200,0.361081993,1.57E-05,136
8041,English1102,Psychology2201,0.423773721,7.24E-08,149
8042,English1102,Psychology2301,-0.217997973,0.355842959,20
8043,English1102,Psychology2401,0.20876096,0.109436453,60
8045,English1102,Psychology2501,0.366987812,3.41E-09,244
8046,English1102,Psychology2600,0.391890938,2.23E-12,298
8047,English1102,Psychology2601,0.525008974,0.00071388,38
8048,English1102,Psychology2700,0.374359606,4.37E-13,350
8049,English1102,Psychology2710,0.374785557,7.67E-12,312
8050,English1102,Psychology2800,0.416843579,7.87E-27,605
8051,English1102,Psychology2900,0.365204974,2.68E-25,757
8052,English1102,Psychology3100,0.382626027,3.63E-06,138
8053,English1102,Psychology3110,0.307900811,0.000214928,140
8055,English1102,Psychology3245,0.301174866,0.126861464,27
8056,English1102,Psychology3300,0.237041655,0.163926207,36
8058,English1102,Psychology3330,0.479348009,1.34E-07,109
8061,English1102,Psychology3360,0.373153701,0.095692405,21
8063,English1102,Psychology3410,0.525095175,0.001429764,34
8065,English1102,Psychology3600,0.325765455,2.70E-14,519
8066,English1102,Psychology3610,0.381287238,0.000345735,84
8067,English1102,Psychology3640,0.447837123,0.006164396,36
8068,English1102,Psychology3700,0.188738588,0.038149371,121
8071,English1102,Psychology3730,0.372913885,6.51E-05,109
8072,English1102,Psychology3810,0.227087583,0.056848722,71
8073,English1102,Psychology3820,0.358972588,0.00018249,104
8076,English1102,Psychology3930,0.281186026,0.001303647,128
8077,English1102,Psychology3950,0.398748681,0.004996523,48
8079,English1102,Psychology4245,0.317978145,0.027632899,48
8081,English1102,Psychology4310,0.263980345,0.000449105,173
8082,English1102,Psychology4330,0.327623845,0.118091859,24
8084,English1102,Psychology4340,0.242361279,0.000267171,222
8085,English1102,Psychology4370,0.383627384,0.003515811,56
8087,English1102,Psychology4810,0.334908648,0.012442536,55
8090,English1102,Psychology4900,0.339996628,2.72E-10,327
8091,English1102,Psychology4920,0.391359529,0.039453286,28
8092,English1102,Psychology4930,0.584667878,0.001361081,27
8096,English1102,Theatre1100,0.382886764,8.65E-89,2520
8097,English1102,Theology1000,0.48049349,0,9417
8098,English1102,Theology3200,0.349594323,2.68E-38,1287
8099,English1102,VisualArts1101,0.405161721,6.28E-63,1566
8100,History1000,BiologicalSciences1403,0.418498008,3.61E-20,442
8101,History1000,BiologicalSciences1404,0.366187015,1.31E-12,352
8102,History1000,BiologicalSciences1413,0.470458644,1.14E-25,441
8103,History1000,Chemistry1321,0.343311249,4.09E-14,458
8104,History1000,Chemistry1322,0.369592884,1.13E-12,347
8105,History1000,Chemistry1331,0.363931937,2.54E-16,475
8106,History1000,Chemistry1332,0.379646501,1.77E-13,351
8107,History1000,ComputerandInfoScience1100,0.343848242,3.49E-15,495
8108,History1000,ComputerandInfoScience1400,0.344005289,0.000349489,104
8110,History1000,ComputerandInfoScience1600,0.355761779,6.29E-10,285
8111,History1000,ComputerandInfoScience1610,0.348059428,7.27E-08,227
8114,History1000,ComputerandInfoScience2000,0.335499073,0.000362091,109
8115,History1000,ComputerandInfoScience2010,0.282076418,0.004465203,100
8117,History1000,ComputerandInfoScience2100,0.6526931,0.000735813,23
8119,History1000,ComputerandInfoScience2200,0.468824128,6.29E-05,67
8121,History1000,ComputerandInfoScience2350,0.144340879,0.521607464,22
8122,History1000,ComputerandInfoScience2500,0.190561734,0.175993887,52
8123,History1000,ComputerandInfoScience2540,0.340546125,0.006761609,62
8130,History1000,ComputerandInfoScience3250,0.231059155,0.27734172,24
8131,History1000,ComputerandInfoScience3300,0.183068002,0.391865358,24
8132,History1000,ComputerandInfoScience3400,0.195299659,0.409281372,20
8133,History1000,ComputerandInfoScience3500,0.069527632,0.649950686,45
8135,History1000,ComputerandInfoScience3593,0.443660735,0.001585963,48
8136,History1000,ComputerandInfoScience3595,0.541154865,0.000543298,37
8140,History1000,ComputerandInfoScience4001,0.170190682,0.182351964,63
8142,History1000,ComputerandInfoScience4020,0.011082156,0.955366311,28
8143,History1000,ComputerandInfoScience4080,0.386173074,0.011536992,42
8144,History1000,ComputerandInfoScience4090,0.288320561,0.057700178,44
8148,History1000,ComputerandInfoScience4615,0.238765295,0.180842719,33
8149,History1000,ComputerandInfoScience4631,0.144109414,0.308080168,52
8150,History1000,ComputerandInfoScience4650,0.092871611,0.563582397,41
8151,History1000,ComputerandInfoScience4660,0.421739025,0.031877128,26
8157,History1000,Economics2140,0.285558336,1.79E-24,1228
8158,History1000,English1101,0.315575445,2.14E-10,387
8159,History1000,English1102,0.431832039,2.85E-108,2370
8160,History1000,History1000,1,0,3560
8161,History1000,Mathematics1100,0.248506301,5.45E-16,1032
8162,History1000,Music1100,0.479706968,6.96E-39,653
8163,History1000,Philosophy1000,0.480827764,1.19E-148,2567
8164,History1000,Physics1201,0.382439496,1.22E-28,782
8165,History1000,Physics1501,0.418604905,4.87E-08,157
8166,History1000,Physics1511,0.26855547,7.49E-05,212
8167,History1000,Psychology1000,0.679156464,0.00013619,26
8171,History1000,Psychology1100,0.343805778,2.16E-10,323
8172,History1000,Psychology1200,0.415254982,4.60E-18,399
8173,History1000,Psychology2000,0.292729402,1.13E-06,267
8174,History1000,Psychology2010,0.403667476,1.33E-08,184
8175,History1000,Psychology2200,0.452523888,0.000522878,55
8176,History1000,Psychology2201,0.422818378,0.001300081,55
8180,History1000,Psychology2501,0.328207219,0.004883652,72
8181,History1000,Psychology2600,0.279235998,0.006137169,95
8183,History1000,Psychology2700,0.480019412,3.79E-08,118
8184,History1000,Psychology2710,0.365892187,5.79E-05,115
8185,History1000,Psychology2800,0.397214447,2.60E-09,209
8186,History1000,Psychology2900,0.375678517,1.25E-09,245
8187,History1000,Psychology3100,0.352687558,0.023716744,41
8188,History1000,Psychology3110,0.535056006,0.000182566,44
8193,History1000,Psychology3330,0.47846316,0.00038325,51
8200,History1000,Psychology3600,0.265906531,0.000457072,170
8201,History1000,Psychology3610,0.491550561,0.002003898,37
8203,History1000,Psychology3700,0.212684825,0.176282886,42
8206,History1000,Psychology3730,0.474990735,0.001122026,44
8208,History1000,Psychology3820,0.361144544,0.028086773,37
8211,History1000,Psychology3930,0.368482365,0.011743871,46
8216,History1000,Psychology4310,0.352778899,0.004247755,64
8219,History1000,Psychology4340,0.372940107,0.000476233,84
8225,History1000,Psychology4900,0.237999617,0.00752428,125
8231,History1000,Theatre1100,0.385159711,4.34E-27,726
8232,History1000,Theology1000,0.460170178,3.04E-135,2577
8233,History1000,Theology3200,0.427649779,6.99E-20,415
8234,History1000,VisualArts1101,0.372081066,2.53E-18,514
8235,Mathematics1100,BiologicalSciences1403,0.237910236,0.00012522,255
8236,Mathematics1100,BiologicalSciences1404,0.153446023,0.063516769,147
8237,Mathematics1100,BiologicalSciences1413,0.180759257,0.003846704,254
8238,Mathematics1100,Chemistry1321,0.230627125,0.00107988,198
8239,Mathematics1100,Chemistry1322,0.087751801,0.322723296,129
8240,Mathematics1100,Chemistry1331,0.184403511,0.004654277,234
8241,Mathematics1100,Chemistry1332,0.10696545,0.218642096,134
8242,Mathematics1100,ComputerandInfoScience1100,0.350299994,2.30E-08,241
8243,Mathematics1100,ComputerandInfoScience1400,0.233416249,0.061305291,65
8245,Mathematics1100,ComputerandInfoScience1600,0.17530279,0.014749298,193
8246,Mathematics1100,ComputerandInfoScience1610,0.186446014,0.018616778,159
8249,Mathematics1100,ComputerandInfoScience2000,0.31102182,0.004210881,83
8250,Mathematics1100,ComputerandInfoScience2010,0.340453648,0.002288972,78
8254,Mathematics1100,ComputerandInfoScience2200,0.231163671,0.102657823,51
8257,Mathematics1100,ComputerandInfoScience2500,0.43332207,0.000679476,58
8258,Mathematics1100,ComputerandInfoScience2540,0.257321177,0.011822499,95
8260,Mathematics1100,ComputerandInfoScience3001,-0.082110655,0.683891025,27
8266,Mathematics1100,ComputerandInfoScience3300,0.604091234,0.002268383,23
8268,Mathematics1100,ComputerandInfoScience3500,0.211865905,0.1169853,56
8270,Mathematics1100,ComputerandInfoScience3593,0.109576949,0.50665984,39
8271,Mathematics1100,ComputerandInfoScience3595,0.135538347,0.444692399,34
8274,Mathematics1100,ComputerandInfoScience3850,0.697041566,0.000153763,24
8275,Mathematics1100,ComputerandInfoScience4001,0.214460411,0.047383378,86
8277,Mathematics1100,ComputerandInfoScience4020,0.103005688,0.665634725,20
8278,Mathematics1100,ComputerandInfoScience4080,0.119630819,0.55228029,27
8279,Mathematics1100,ComputerandInfoScience4090,0.2743166,0.110778749,35
8283,Mathematics1100,ComputerandInfoScience4615,0.518239212,0.003350046,30
8284,Mathematics1100,ComputerandInfoScience4631,0.321982283,0.025630829,48
8285,Mathematics1100,ComputerandInfoScience4650,0.053198767,0.719512137,48
8286,Mathematics1100,ComputerandInfoScience4660,0.012236836,0.950721111,28
8292,Mathematics1100,Economics2140,0.302932717,2.29E-23,1033
8293,Mathematics1100,English1101,0.247075484,4.54E-11,691
8294,Mathematics1100,English1102,0.312194294,8.50E-78,3402
8295,Mathematics1100,History1000,0.248506301,5.45E-16,1032
8296,Mathematics1100,Mathematics1100,1,0,4976
8297,Mathematics1100,Music1100,0.325546939,1.00E-25,984
8298,Mathematics1100,Philosophy1000,0.413821139,2.65E-153,3706
8299,Mathematics1100,Physics1201,0.393041097,2.07E-53,1413
8300,Mathematics1100,Physics1501,-0.160849742,0.269554249,49
8301,Mathematics1100,Physics1511,-0.002649932,0.982122879,74
8302,Mathematics1100,Psychology1000,0.119201198,0.399965112,52
8306,Mathematics1100,Psychology1100,0.422800578,2.89E-24,527
8307,Mathematics1100,Psychology1200,0.395257636,2.00E-23,588
8308,Mathematics1100,Psychology2000,0.36017611,1.48E-14,428
8309,Mathematics1100,Psychology2010,0.40361021,1.94E-14,332
8310,Mathematics1100,Psychology2200,0.137954677,0.166749658,102
8311,Mathematics1100,Psychology2201,0.401989084,0.000103526,88
8313,Mathematics1100,Psychology2401,0.307512182,0.03762452,46
8315,Mathematics1100,Psychology2501,0.371570914,9.86E-06,134
8316,Mathematics1100,Psychology2600,0.382467177,3.67E-07,166
8317,Mathematics1100,Psychology2601,0.271048115,0.133477728,32
8318,Mathematics1100,Psychology2700,0.347029506,7.15E-07,194
8319,Mathematics1100,Psychology2710,0.358134164,1.63E-06,170
8320,Mathematics1100,Psychology2800,0.376699049,2.70E-12,322
8321,Mathematics1100,Psychology2900,0.359327159,1.26E-12,367
8322,Mathematics1100,Psychology3100,0.450347033,7.21E-05,72
8323,Mathematics1100,Psychology3110,0.504066808,0.000139062,52
8326,Mathematics1100,Psychology3300,0.29888261,0.122348211,28
8328,Mathematics1100,Psychology3330,0.195792878,0.118035045,65
8333,Mathematics1100,Psychology3410,0.461510725,0.04052805,20
8335,Mathematics1100,Psychology3600,0.333404331,1.29E-08,277
8336,Mathematics1100,Psychology3610,0.453429569,0.001068147,49
